ID,Education,Marital_Status,Income,Kidhome,Teenhome,Parent?,Dt_Customer,Month Joined,Year Joined,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Accepted or Not,Complain,Z_CostContact,Z_Revenue,Response,Age,AgeGroup,index,Frequency,Recency,Monetary,Cluster,R,F,M,RFM_SCORE,Segment
538,Graduation,Single,46107.0,1,0,1,10-02-2014,2,2014,31,9,27,16,9,33,1,1,1,4,3,0,0,0,0,0,0,0,3,11,0,25,21-30,19,7,78,125,0,2,1,2,212,212
6382,Graduation,Together,48794.0,1,1,1,26-06-2014,6,2014,25,0,11,3,0,15,1,1,0,3,4,0,0,0,0,0,0,0,3,11,0,61,61-70,20,5,97,54,0,1,1,1,111,"VIP Customers - Highly valuable, frequent, and big spenders"
4268,Graduation,Married,53154.0,0,1,1,09-06-2014,6,2014,129,0,21,0,1,7,1,3,1,4,4,0,0,0,0,0,0,0,3,11,0,55,51-60,21,9,50,158,0,3,2,2,322,"Frequent but Low Value Customers - High recency, frequent, but low spenders"
5324,PhD,Married,58293.0,1,0,1,19-01-2014,1,2014,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,3,11,0,33,31-40,22,19,94,422,0,1,4,3,143,143
10681,2n Cycle,Married,62466.0,0,1,1,15-01-2014,1,2014,129,129,259,168,121,83,5,6,3,12,4,0,0,0,0,0,0,0,3,11,0,44,41-50,23,26,13,889,2,5,5,4,554,554
10281,Graduation,Divorced,64713.0,1,0,1,07-02-2014,2,2014,180,60,241,13,54,54,2,5,5,7,4,0,0,0,0,0,0,0,3,11,1,44,41-50,24,19,11,602,2,5,4,3,543,543
6457,Graduation,Divorced,64892.0,0,1,1,29-05-2014,5,2014,527,24,230,32,24,65,2,6,4,12,4,0,0,0,0,0,0,0,3,11,0,38,31-40,25,24,77,902,2,2,5,4,254,254
6544,PhD,Together,67911.0,0,1,1,22-05-2014,5,2014,529,0,356,63,28,0,3,6,7,11,3,0,0,0,0,0,0,0,3,11,0,65,61-70,26,27,63,976,2,2,5,4,254,254
1927,2n Cycle,Together,69401.0,0,1,1,23-03-2014,3,2014,399,27,159,58,8,39,4,4,4,5,2,0,0,0,0,0,0,0,3,11,0,41,41-50,27,17,41,690,2,3,3,4,334,334
486,Graduation,Married,84219.0,0,0,0,02-02-2014,2,2014,434,137,400,45,137,45,1,3,4,10,1,0,0,0,0,0,0,0,3,11,0,26,21-30,28,18,27,1198,2,4,4,5,445,445
9400,2n Cycle,Single,85485.0,0,0,0,21-06-2014,6,2014,630,26,611,44,18,54,1,6,6,6,2,0,0,0,0,0,0,0,3,11,0,56,51-60,29,19,73,1383,1,2,4,5,245,245
1446,Master,Single,86424.0,0,0,0,05-04-2014,4,2014,387,68,569,89,45,68,1,6,9,12,1,0,0,0,0,0,0,0,3,11,0,58,51-60,30,28,12,1226,2,5,5,5,555,"Low Value Customers - Least valuable, infrequent, and low spenders"
9467,Graduation,Single,34738.0,1,0,1,11-05-2014,5,2014,3,2,10,3,0,2,1,1,0,3,6,0,0,0,0,0,0,0,3,11,0,30,31-40,31,5,51,20,0,3,1,1,311,"Potential Promising Customers - Moderate recency, frequent, and low spenders"
9264,Graduation,Married,79529.0,0,0,0,27-04-2014,4,2014,423,42,706,73,197,197,1,4,8,9,2,0,0,0,0,0,0,0,3,11,0,28,21-30,32,22,1,1638,1,5,4,5,545,545
254,Graduation,Together,53863.0,0,1,1,17-05-2014,5,2014,399,4,30,6,4,30,3,7,1,7,7,0,1,0,0,0,1,0,3,11,0,59,51-60,33,18,4,473,0,5,4,3,543,543
7987,Graduation,Married,65747.0,0,1,1,07-03-2014,3,2014,346,17,48,23,13,13,4,8,1,6,6,0,1,0,0,0,1,0,3,11,0,45,41-50,34,19,96,460,0,1,4,3,143,143
830,PhD,Single,74004.0,0,0,0,24-02-2014,2,2014,784,48,560,42,176,48,1,4,6,4,3,0,0,1,1,0,1,0,3,11,1,27,21-30,35,15,5,1658,1,5,3,5,535,535
4138,Graduation,Single,76624.0,0,1,1,24-05-2014,5,2014,411,106,147,54,115,66,1,5,10,7,1,1,0,0,0,0,1,0,3,11,0,52,51-60,36,23,68,899,2,2,5,4,254,254
1577,Graduation,Married,78569.0,0,0,0,19-02-2014,2,2014,558,79,622,207,175,95,1,4,6,4,1,0,0,1,0,0,1,0,3,11,1,68,61-70,37,15,14,1736,1,5,3,5,535,535
5832,2n Cycle,Together,92556.0,0,0,0,20-04-2014,4,2014,493,183,352,184,23,28,0,3,5,13,0,0,0,0,0,0,0,0,3,11,0,54,51-60,38,21,32,1263,2,4,4,5,445,445
8341,PhD,Married,30396.0,1,0,1,30-04-2014,4,2014,15,0,6,0,1,12,2,1,1,2,7,1,0,0,0,0,1,0,3,11,1,45,41-50,39,6,22,34,0,4,1,1,411,411
48,Graduation,Together,55761.0,0,1,1,24-04-2014,4,2014,136,1,12,0,3,32,2,4,1,3,6,0,1,0,0,0,1,0,3,11,0,50,51-60,40,10,97,184,0,1,2,2,122,122
1,Graduation,Single,57091.0,0,0,0,15-06-2014,6,2014,464,5,64,7,0,37,1,7,3,7,5,0,0,0,0,1,1,0,3,11,1,53,51-60,41,18,0,577,2,5,4,3,543,543
5529,PhD,Together,64014.0,2,1,1,10-06-2014,6,2014,406,0,30,0,0,8,7,8,2,5,7,0,0,0,1,0,1,0,3,11,0,68,61-70,42,22,56,444,0,3,4,3,343,343
5758,Graduation,Married,65169.0,0,0,0,14-01-2014,1,2014,1074,0,69,0,0,46,1,10,4,13,6,1,0,1,1,1,1,0,3,11,1,32,31-40,43,28,23,1189,2,4,5,5,455,455
5136,Graduation,Single,65333.0,0,1,1,17-01-2014,1,2014,654,7,92,0,15,30,7,9,4,8,6,0,1,1,0,0,1,0,3,11,0,41,41-50,44,28,58,798,2,3,5,4,354,354
4998,Graduation,Together,76081.0,0,0,0,23-05-2014,5,2014,292,30,415,63,33,200,1,4,5,4,2,0,0,0,1,0,1,0,3,11,0,52,51-60,45,14,85,1033,2,1,3,4,134,134
1225,Graduation,Married,80124.0,0,0,0,26-06-2014,6,2014,483,84,398,205,84,241,1,3,7,8,1,1,0,0,0,0,1,0,3,11,0,51,51-60,46,19,47,1495,1,3,4,5,345,345
5721,PhD,Married,84117.0,0,0,0,11-05-2014,5,2014,611,76,749,59,45,26,1,7,10,6,2,0,0,1,0,0,1,0,3,11,0,58,51-60,47,24,60,1566,1,2,5,5,255,255
11086,Basic,Single,25707.0,1,0,1,18-01-2014,1,2014,1,6,2,3,6,3,1,1,0,3,7,0,0,0,0,0,0,0,3,11,0,30,31-40,48,5,18,21,0,5,1,1,511,"New Customers - Low recency, frequent, and low spenders"
9197,Graduation,Married,39722.0,0,1,1,24-02-2014,2,2014,32,0,5,2,0,8,2,2,0,3,5,0,0,0,0,0,0,0,3,11,0,61,61-70,49,7,92,47,0,1,1,1,111,"VIP Customers - Highly valuable, frequent, and big spenders"
8443,Graduation,Single,24762.0,1,0,1,10-02-2014,2,2014,6,10,12,3,15,40,3,3,1,2,8,1,0,0,0,0,1,0,3,11,1,42,41-50,50,9,16,86,0,5,2,2,522,522
2115,Graduation,Together,50116.0,1,1,1,20-06-2014,6,2014,54,0,10,0,0,2,2,1,0,4,5,0,1,0,0,0,1,0,3,11,0,57,51-60,51,7,68,66,0,2,1,2,212,212
7300,Graduation,Divorced,69142.0,0,1,1,29-06-2014,6,2014,448,4,34,6,4,39,3,8,1,7,5,0,1,0,0,0,1,0,3,11,0,62,61-70,52,19,50,535,0,3,4,3,343,343
8504,Graduation,Married,79593.0,0,0,0,12-05-2014,5,2014,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,1,0,3,11,0,41,41-50,53,19,70,1366,1,2,4,5,245,245
3005,Graduation,Single,83528.0,0,0,0,01-05-2014,5,2014,530,117,678,134,44,147,1,4,10,8,1,1,0,0,1,0,1,0,3,11,1,22,21-30,54,23,7,1650,1,5,5,5,555,"Low Value Customers - Least valuable, infrequent, and low spenders"
9369,2n Cycle,Single,88194.0,0,1,1,19-03-2014,3,2014,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,1,0,3,11,1,35,31-40,55,32,19,1274,2,5,5,5,555,"Low Value Customers - Least valuable, infrequent, and low spenders"
10909,Graduation,Married,92344.0,0,0,0,15-01-2014,1,2014,992,24,694,51,19,119,0,5,10,5,1,1,0,1,0,0,1,0,3,11,0,66,61-70,56,20,9,1899,1,5,4,5,545,545
4248,Master,Single,98777.0,0,0,0,17-02-2014,2,2014,1000,19,711,125,115,38,0,4,6,9,1,0,1,0,0,0,1,0,3,11,0,54,51-60,57,19,23,2008,1,4,4,5,445,445
9931,PhD,Married,4023.0,1,1,1,23-06-2014,6,2014,5,0,1,1,1,1,15,0,0,0,19,0,0,0,0,0,0,0,3,11,0,51,51-60,58,15,29,9,0,4,3,1,431,431
3955,Graduation,Divorced,4861.0,0,0,0,22-06-2014,6,2014,2,1,1,1,0,1,0,0,0,0,14,0,0,0,0,0,0,0,3,11,0,49,41-50,59,0,20,6,0,4,1,1,411,411
10032,Graduation,Divorced,12571.0,1,0,1,18-01-2014,1,2014,3,5,14,2,12,17,4,3,1,3,6,0,0,0,0,0,0,0,3,11,0,38,31-40,60,11,86,53,0,1,2,1,121,121
3436,Graduation,Married,14045.0,1,0,1,26-01-2014,1,2014,11,0,5,2,1,1,1,1,0,3,7,0,0,0,0,0,0,0,3,11,0,45,41-50,61,5,24,20,0,4,1,1,411,411
3559,2n Cycle,Married,16248.0,1,0,1,10-05-2014,5,2014,12,11,10,3,12,9,3,2,1,3,6,0,0,0,0,0,0,0,3,11,0,26,21-30,62,9,77,57,0,2,2,2,222,222
6646,Graduation,Together,16529.0,1,0,1,01-03-2014,3,2014,3,0,5,13,0,1,1,1,0,3,6,0,0,0,0,0,0,0,3,11,0,30,31-40,63,5,23,22,0,4,1,1,411,411
10403,Graduation,Together,16531.0,1,0,1,18-06-2014,6,2014,2,13,6,7,5,11,3,3,0,3,7,0,0,0,0,0,0,0,3,11,0,36,31-40,64,9,43,44,0,3,2,1,321,321
4927,Graduation,Together,16626.0,2,0,1,15-01-2014,1,2014,8,3,22,21,1,13,3,3,0,3,9,0,0,0,0,0,0,0,3,11,0,43,41-50,65,9,76,68,0,2,2,2,222,222
2634,Master,Single,16653.0,1,0,1,18-04-2014,4,2014,5,7,31,15,4,7,3,2,1,3,6,0,0,0,0,0,0,0,3,11,1,35,31-40,66,9,10,69,0,5,2,2,522,522
1135,Master,Together,17144.0,1,1,1,15-02-2014,2,2014,18,2,19,0,2,6,5,3,0,4,7,0,0,0,0,0,0,0,3,11,0,54,51-60,67,12,96,47,0,1,2,1,121,121
24,Master,Together,17144.0,1,1,1,15-02-2014,2,2014,18,2,19,0,2,6,5,3,0,4,7,0,0,0,0,0,0,0,3,11,0,54,51-60,68,12,96,47,0,1,3,1,131,131
9481,Graduation,Married,17148.0,1,0,1,28-01-2014,1,2014,9,9,11,13,10,16,4,3,1,3,8,0,0,0,0,0,0,0,3,11,0,38,31-40,69,11,80,68,0,1,2,2,122,122
6398,Basic,Married,18393.0,1,0,1,29-03-2014,3,2014,7,10,13,16,0,4,2,3,0,3,8,0,0,0,0,0,0,0,3,11,0,40,41-50,70,8,2,50,0,5,2,1,521,521
6528,Master,Together,18492.0,1,0,1,05-06-2014,6,2014,2,2,2,2,1,1,1,1,0,2,8,0,0,0,0,0,0,0,3,11,0,32,31-40,71,4,75,10,0,2,1,1,211,Medium Value Customers - Moderately valuable with high recency
4055,Basic,Single,18746.0,1,0,1,29-05-2014,5,2014,2,10,11,12,9,20,2,3,0,3,6,0,0,0,0,0,0,0,3,11,0,22,21-30,72,8,41,64,0,3,2,2,322,"Frequent but Low Value Customers - High recency, frequent, but low spenders"
4329,PhD,Married,18988.0,1,0,1,23-05-2014,5,2014,6,0,6,2,1,1,2,1,0,3,7,0,0,0,0,0,0,0,3,11,0,30,31-40,73,6,43,16,0,3,1,1,311,"Potential Promising Customers - Moderate recency, frequent, and low spenders"
10432,Graduation,Divorced,19346.0,1,0,1,30-01-2014,1,2014,2,0,9,3,6,2,1,1,0,3,8,0,0,0,0,0,0,0,3,11,0,40,41-50,74,5,26,22,0,4,1,1,411,411
9986,Graduation,Together,19444.0,1,0,1,22-02-2014,2,2014,16,0,23,3,2,10,3,4,1,2,7,0,0,0,0,0,0,0,3,11,1,32,31-40,75,10,8,54,0,5,2,1,521,521
2106,2n Cycle,Married,20130.0,0,0,0,17-03-2014,3,2014,0,6,3,7,6,12,1,1,0,3,8,0,0,0,0,0,0,0,3,11,0,40,41-50,76,5,99,34,0,1,1,1,111,"VIP Customers - Highly valuable, frequent, and big spenders"
3363,2n Cycle,Married,20130.0,0,0,0,17-03-2014,3,2014,0,6,3,7,6,12,1,1,0,3,8,0,0,0,0,0,0,0,3,11,0,40,41-50,77,5,99,34,0,1,1,1,111,"VIP Customers - Highly valuable, frequent, and big spenders"
4298,PhD,Together,20427.0,1,0,1,24-03-2014,3,2014,5,0,4,0,0,1,1,1,0,2,8,0,0,0,0,0,0,0,3,11,0,41,41-50,78,4,63,10,0,2,1,1,211,Medium Value Customers - Moderately valuable with high recency
9081,Graduation,Single,20518.0,1,0,1,18-05-2014,5,2014,4,1,6,4,1,9,1,1,1,2,5,0,0,0,0,0,0,0,3,11,0,26,21-30,79,5,58,25,0,3,1,1,311,"Potential Promising Customers - Moderate recency, frequent, and low spenders"
49,Graduation,Single,20587.0,1,0,1,11-05-2014,5,2014,2,3,6,4,1,9,1,1,1,2,7,0,0,0,0,0,0,0,3,11,0,44,41-50,80,5,39,25,0,4,1,1,411,411
4973,Graduation,Single,20587.0,1,0,1,11-05-2014,5,2014,2,3,6,4,1,9,1,1,1,2,7,0,0,0,0,0,0,0,3,11,0,44,41-50,81,5,39,25,0,4,1,1,411,411
4066,2n Cycle,Divorced,21282.0,1,0,1,11-05-2014,5,2014,1,5,8,4,8,20,2,2,1,2,6,0,0,0,0,0,0,0,3,11,0,36,31-40,82,7,76,46,0,2,1,1,211,Medium Value Customers - Moderately valuable with high recency
7629,Graduation,Married,22108.0,1,1,1,08-05-2014,5,2014,5,3,9,6,2,6,2,2,0,3,7,0,0,0,0,0,0,0,3,11,0,37,31-40,83,7,46,31,0,3,1,1,311,"Potential Promising Customers - Moderate recency, frequent, and low spenders"
954,Basic,Widow,22123.0,0,0,0,27-03-2014,3,2014,3,3,24,34,7,31,1,2,1,3,5,0,0,0,0,0,0,0,3,11,0,54,51-60,84,7,77,102,0,2,1,2,212,212
10779,Graduation,Single,22148.0,0,0,0,13-04-2014,4,2014,15,5,14,0,4,11,1,1,0,3,7,0,0,0,0,0,0,0,3,11,0,31,31-40,85,5,16,49,0,5,1,1,511,"New Customers - Low recency, frequent, and low spenders"
255,Graduation,Divorced,22263.0,1,1,1,30-03-2014,3,2014,17,0,2,0,0,2,2,1,0,3,6,0,0,0,0,0,0,1,3,11,0,63,61-70,86,6,31,21,0,4,1,1,411,411
8079,Graduation,Married,22448.0,1,0,1,26-02-2014,2,2014,3,1,8,23,2,18,3,2,1,3,3,0,0,0,0,0,0,0,3,11,0,32,31-40,87,9,86,55,0,1,2,1,121,121
4297,Graduation,Together,23228.0,1,0,1,26-01-2014,1,2014,13,2,18,6,1,0,2,2,0,3,8,0,0,0,0,0,0,0,3,11,0,45,41-50,88,7,71,40,0,2,1,1,211,Medium Value Customers - Moderately valuable with high recency
7788,PhD,Married,23536.0,1,0,1,04-06-2014,6,2014,6,0,3,0,0,1,1,0,0,3,3,0,0,0,0,0,0,0,3,11,0,31,31-40,89,4,53,10,0,3,1,1,311,"Potential Promising Customers - Moderate recency, frequent, and low spenders"
9727,Graduation,Married,23539.0,0,0,0,28-02-2014,2,2014,4,24,11,16,1,25,1,2,0,4,6,0,0,0,0,0,0,0,3,11,0,57,51-60,90,7,13,81,0,5,1,2,512,512
9612,2n Cycle,Single,23830.0,0,0,0,07-02-2014,2,2014,1,8,6,4,8,16,1,1,0,3,7,0,0,0,0,0,0,0,3,11,0,27,21-30,91,5,3,43,0,5,1,1,511,"New Customers - Low recency, frequent, and low spenders"
10084,Graduation,Married,24434.0,2,0,1,18-05-2014,5,2014,3,2,8,20,0,17,2,2,1,2,7,0,0,0,0,0,0,0,3,11,0,42,41-50,92,7,9,50,0,5,1,1,511,"New Customers - Low recency, frequent, and low spenders"
4098,Graduation,Married,24639.0,1,1,1,28-01-2014,1,2014,20,3,16,0,4,1,3,2,0,4,6,0,0,0,0,0,0,0,3,11,0,41,41-50,93,9,3,44,0,5,2,1,521,521
8541,2n Cycle,Married,24683.0,1,0,1,08-03-2014,3,2014,8,4,10,6,7,6,2,2,0,4,5,0,0,0,0,0,0,0,3,11,0,24,21-30,94,8,98,41,0,1,2,1,121,121
7937,Graduation,Married,24711.0,0,0,0,18-04-2014,4,2014,10,7,25,6,3,7,1,3,0,3,7,0,0,0,0,0,0,0,3,11,0,32,31-40,95,7,86,58,0,1,1,2,112,112
5010,Graduation,Single,25008.0,1,0,1,02-02-2014,2,2014,2,8,8,6,1,9,2,1,0,3,8,0,0,0,0,0,0,0,3,11,0,26,21-30,96,6,72,34,0,2,1,1,211,Medium Value Customers - Moderately valuable with high recency
1646,Basic,Married,25224.0,1,0,1,16-03-2014,3,2014,4,9,12,11,2,8,2,1,1,3,3,0,0,0,0,0,0,0,3,11,0,42,41-50,97,7,36,46,0,4,1,1,411,411
8036,2n Cycle,Together,26850.0,1,1,1,18-04-2014,4,2014,31,1,13,7,2,9,4,2,1,4,4,0,0,0,0,0,0,0,3,11,0,43,41-50,98,11,10,63,0,5,2,2,522,522
9960,Basic,Single,26868.0,1,0,1,30-04-2014,4,2014,0,0,1,8,3,2,1,1,0,2,7,0,0,0,0,0,0,0,3,11,0,23,21-30,99,4,52,14,0,3,1,1,311,"Potential Promising Customers - Moderate recency, frequent, and low spenders"
9392,Graduation,Single,26954.0,1,0,1,08-05-2014,5,2014,4,1,11,0,0,1,1,1,0,2,7,0,0,0,0,0,0,0,3,11,0,43,41-50,100,4,17,17,0,5,1,1,511,"New Customers - Low recency, frequent, and low spenders"
2256,Master,Married,27159.0,1,1,1,29-03-2014,3,2014,17,0,3,0,0,1,2,1,0,3,6,0,0,0,0,0,0,0,3,11,0,41,41-50,101,6,33,21,0,4,1,1,411,411
7574,PhD,Together,27922.0,1,0,1,10-05-2014,5,2014,11,0,13,2,4,11,1,2,0,3,4,0,0,0,0,0,0,0,3,11,0,35,31-40,102,6,80,41,0,1,1,1,111,"VIP Customers - Highly valuable, frequent, and big spenders"
7437,Graduation,Single,27938.0,1,0,1,28-04-2014,4,2014,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,0,3,11,0,26,21-30,103,6,31,29,0,4,1,1,411,411
2563,Basic,Married,28249.0,0,0,0,15-06-2014,6,2014,1,9,7,2,14,10,1,2,0,3,6,0,0,0,0,0,0,0,3,11,0,53,51-60,104,6,80,43,0,1,1,1,111,"VIP Customers - Highly valuable, frequent, and big spenders"
8312,Basic,Married,28249.0,0,0,0,15-06-2014,6,2014,1,9,7,2,14,10,1,2,0,3,6,0,0,0,0,0,0,0,3,11,0,53,51-60,105,6,80,43,0,1,1,1,111,"VIP Customers - Highly valuable, frequent, and big spenders"
1050,Graduation,Married,28332.0,0,0,0,30-04-2014,4,2014,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,0,3,11,0,62,61-70,106,8,58,65,0,3,2,2,322,"Frequent but Low Value Customers - High recency, frequent, but low spenders"
2958,Graduation,Married,28442.0,2,0,1,24-02-2014,2,2014,19,3,10,11,8,6,3,2,1,4,4,0,0,0,0,0,0,0,3,11,0,36,31-40,107,10,53,57,0,3,2,2,322,"Frequent but Low Value Customers - High recency, frequent, but low spenders"
9829,Graduation,Together,28587.0,1,0,1,12-02-2014,2,2014,22,4,17,12,10,13,3,2,0,4,6,0,0,0,0,0,0,0,3,11,0,36,31-40,108,9,42,78,0,3,2,2,322,"Frequent but Low Value Customers - High recency, frequent, but low spenders"
231,Master,Together,28839.0,1,1,1,11-03-2014,3,2014,24,0,7,0,0,1,2,2,0,3,5,0,0,0,0,0,0,0,3,11,0,58,51-60,109,7,86,32,0,1,1,1,111,"VIP Customers - Highly valuable, frequent, and big spenders"
6336,Graduation,Married,29315.0,1,1,1,06-04-2014,4,2014,13,2,14,8,7,4,4,2,0,4,6,0,0,0,0,0,0,0,3,11,0,54,51-60,110,10,55,48,0,3,2,1,321,321
1818,PhD,Together,29732.0,1,0,1,25-03-2014,3,2014,25,0,8,0,1,4,1,2,0,2,9,0,0,0,0,0,0,0,3,11,0,43,41-50,111,5,23,38,0,4,1,1,411,411
2587,PhD,Married,29791.0,1,0,1,15-05-2014,5,2014,14,0,6,0,0,0,2,2,0,3,5,0,0,0,0,0,0,0,3,11,0,42,41-50,112,7,21,20,0,4,1,1,411,411
498,Graduation,Single,30015.0,1,0,1,02-02-2014,2,2014,25,0,22,2,3,5,2,1,0,4,5,0,0,0,0,0,0,0,3,11,0,44,41-50,113,7,28,57,0,4,1,2,412,412
4444,Graduation,Married,30023.0,1,0,1,24-03-2014,3,2014,11,0,16,7,6,21,1,2,0,3,8,0,0,0,0,0,0,0,3,11,0,42,41-50,114,6,28,61,0,4,1,2,412,412
7516,Graduation,Married,30096.0,1,0,1,22-05-2014,5,2014,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,0,3,11,0,31,31-40,115,6,30,45,0,4,1,1,411,411
3129,Graduation,Married,30096.0,1,0,1,22-05-2014,5,2014,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,0,3,11,0,31,31-40,116,6,30,45,0,4,1,1,411,411
7679,PhD,Single,30298.0,0,0,0,19-05-2014,5,2014,6,3,12,6,1,0,1,1,1,3,3,0,0,0,0,0,0,0,3,11,0,29,21-30,117,6,48,28,0,3,1,1,311,"Potential Promising Customers - Moderate recency, frequent, and low spenders"
4290,Graduation,Married,30467.0,1,0,1,19-03-2014,3,2014,1,3,8,2,5,5,1,1,0,2,7,0,0,0,0,0,0,0,3,11,0,42,41-50,118,4,8,24,0,5,1,1,511,"New Customers - Low recency, frequent, and low spenders"
10796,Master,Married,30477.0,1,0,1,22-01-2014,1,2014,47,1,6,0,0,12,1,1,1,3,6,0,0,0,0,0,0,0,3,11,0,30,31-40,119,6,16,66,0,5,1,2,512,512
3696,Graduation,Divorced,30630.0,1,1,1,27-01-2014,1,2014,27,1,12,2,0,10,2,2,0,3,7,0,0,0,0,0,0,0,3,11,0,49,41-50,120,7,67,52,0,2,1,1,211,Medium Value Customers - Moderately valuable with high recency
